favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
red,Slightly excited,Meh,2,Engineering,16,0,2,2,M
brown,Super stoked,Pretty good,3,Data Science,16,2,4,4,M
Green,Very excited,Meh,3,Physical Sciences,12,2,2,3,M
Blue,Slightly excited,Meh,3,Engineering,16,1,2,5,F
purple,Not at all excited,Meh,2,Engineering,16,6,3,6,F
purple,Super stoked,Pretty good,3,Engineering,14,1,1,2,M
Blue,Very excited,Pretty good,3,Engineering,18,0.5,1,1,M
Blue,Slightly excited,Bad,2,Data Science,17,0,0,6,F
purple,Very excited,Bad,1,Engineering,14,2,0.5,0.5,F
pink,Slightly excited,Pretty good,3,Data Science,12,2,1,2,F
Green,Very excited,Bad,3,Engineering,14,0,1,2,M
Black,Very excited,Meh,2,Data Science,20,2,3,3,M
Purple,Slightly excited,Awful,2,Engineering,16,0,1,1,F
Blue,Very excited,Pretty good,2,Data Science,12,5,1,3,M
Green,Very excited,Meh,4,Biological Sciences,16,0,0,5,F
sky blue,Slightly excited,Meh,2,Engineering,21,1,1,1,M
Blue,Slightly excited,Meh,3,Engineering,18,0,1,5,M
red,Very excited,Meh,3,Data Science,12,1,2,0.5,M
purple,Slightly excited,Meh,3,Data Science,16,0,1,4,M
Blue,Slightly excited,Bad,4,Social Sciences,16,1,1,2,F
Purple,Slightly excited,Meh,2,Engineering,12,2,2,6,M
green,Slightly excited,Meh,3,Engineering,12,1,1,4,F
Blue,Very excited,Meh,1,Data Science,14,0,2,3,M
Green,Slightly excited,Meh,2,Engineering,18,0,2,1,M
yellow,Slightly excited,Meh,3,Engineering,16,0,1,4,M
orange,Slightly excited,Awful,3,Data Science,12,0,2,2,M
green,Slightly excited,Meh,3,Engineering,16,6,0,1,F
Navy Blue,Very excited,Meh,2,Data Science,16,0.5,1,6,M
purple,Slightly excited,Meh,2,Physical Sciences,22,2,2,5,F
green,Very excited,Pretty good,3,Data Science,16,0,0.5,3,F
Grey,Very excited,Meh,3,Data Science,16,2,0.5,0.5,M
Blue,Slightly excited,Bad,3,Engineering,16,0,1,10,M
Green,Very excited,Meh,2,Physical Sciences,16,0,2,5,M
Green,Slightly excited,Pretty good,>4,Physical Sciences,12,0,0,3,M
Green,Very excited,Pretty good,3,Data Science,14,1,1,3,M
Blue,Slightly excited,Meh,4,Engineering,14,1,3,4,M
Black,Very excited,Meh,3,Data Science,12,2,2,8,M
Blue,Slightly excited,Meh,3,Engineering,16,1,2,7,F
Blue,Very excited,Bad,2,Data Science,19,2,0,12,M
Pink,Slightly excited,Meh,2,Engineering,12,1,2,3,F
Blue,Slightly excited,Pretty good,4,Engineering,14,0,0,4,M
Green,Slightly excited,Bad,3,Engineering,14,0,2,4,M
Blue,Slightly excited,Bad,3,Data Science,16,2,1,3,M
Blue,Very excited,Meh,3,Data Science,16,1,3,5,M
pink,Slightly excited,Meh,3,Data Science,14,0,2,4,F
Match Green,Slightly excited,Meh,4,Data Science,22,1,0,3,F
green,Very excited,Bad,4,Engineering,16,1,2,5,M
pink,Slightly excited,Bad,3,Engineering,16,0,1,5,F
gray,Slightly excited,Meh,3,Engineering,14,0,1,5,F
Red,Slightly excited,Bad,2,Engineering,16,0,1,5,M
Blue,Very excited,Meh,2,Engineering,16,1,2,3,M
Purple,Slightly excited,Meh,2,Engineering,16,0,1,3,M
black,Very excited,Pretty good,2,Data Science,16,1,1,2,F
Black,Slightly excited,Meh,2,Data Science,16,0,5,4,M
Purple,Super stoked,Meh,2,Data Science,15,0,2,3,M
Blue,Slightly excited,Meh,3,Physical Sciences,16,1,1,4,F
Purple,Not at all excited,Awful,2,Physical Sciences,16,1,1,4,M
